name,rating,num_reviews,address,phone,website,yelp
Le Train Bleu,4.0,262,Place Louis Armand 1er étage,01 43 43 09 06,www.le-train-bleu.com,https://www.yelp.com/biz/le-train-bleu-paris-3?osq=Restaurant
La Tour de Montlhéry ou chez Denise,4.0,107,5 rue Prouvaires 75001 Paris,01 42 36 21 82,,https://www.yelp.com/biz/la-tour-de-montlh%C3%A9ry-ou-chez-denise-paris-2?osq=Restaurant
Café Varenne,4.5,82,36 rue de Varenne 75007 Paris,01 45 48 62 72,,https://www.yelp.com/biz/caf%C3%A9-varenne-paris-4?osq=Restaurant
Chez Georges,4.0,69,1 rue du Mail 75002 Paris,01 42 60 07 11,,https://www.yelp.com/biz/chez-georges-paris-6?osq=Restaurant
Le Petit Châtelet,4.0,123,39 rue de la Bûcherie 75005 Paris,01 46 33 53 40,,https://www.yelp.com/biz/le-petit-ch%C3%A2telet-paris-5?osq=Restaurant
Comptoir Gourmet,4.5,46,51 rue du Temple 75004 Paris,,,https://www.yelp.com/biz/comptoir-gourmet-paris?osq=Restaurant
Aux Trois Mailletz,4.0,61,56 rue Galande 75005 Paris,01 43 54 00 79,www.lestroismailletz.fr,https://www.yelp.com/biz/aux-trois-mailletz-paris?osq=Restaurant
Sacrée Fleur,4.5,89,50 rue Clignancourt 75018 Paris,01 42 51 66 18,www.sacreefleur.f,https://www.yelp.com/biz/sacr%C3%A9e-fleur-paris-2?osq=Restaurant
Fric-Frac,4.5,22,79 quai de Valmy 75010 Paris,01 42 85 87 34,www.fricfrac.f,https://www.yelp.com/biz/fric-frac-paris-3?osq=Restaurant
Le Poulailler,4.5,6,60 rue Saint-Sabin 75011 Paris,01 55 28 67 36,,https://www.yelp.com/biz/le-poulailler-paris?osq=Restaurant
Terra,4.5,3,21 rue des Gravilliers 75003 Paris,01 45 30 02 58,,https://www.yelp.com/biz/terra-paris-2?osq=Restaurant
Le Vaudésir,5.0,24,41 rue Dareau 75014 Paris,01 43 22 03 93,www.bistrot-levaudesir.co,https://www.yelp.com/biz/le-vaud%C3%A9sir-paris?osq=Restaurant
Restaurant de la Tour,5.0,50,6 Rue Desaix 75015 Paris,01 43 06 04 24,www.restaurant-delatour.f,https://www.yelp.com/biz/restaurant-de-la-tour-paris?osq=Restaurant
Pedra Alta,4.5,15,11 boulevard Beaumarchais 75004 Paris,01 40 24 04 73,,https://www.yelp.com/biz/pedra-alta-paris-5?osq=Restaurant
Le Grenier de Notre-Dame,4.0,103,18 rue de la Bucherie 75005 Paris,01 43 29 98 29,www.geodruid.com,https://www.yelp.com/biz/le-grenier-de-notre-dame-paris?osq=Restaurant
Le P'tit Barcelone,4.5,9,10 Rue Boule Rouge 75009 Paris,01 40 22 96 39,www.leptitbarcelone.fr,https://www.yelp.com/biz/le-p-tit-barcelone-paris?osq=Restaurant
Le Bistrot des Halles,4.0,19,15 rue des Halles 75001 Paris,01 42 36 91 69,,https://www.yelp.com/biz/le-bistrot-des-halles-paris-2?osq=Restaurant
Au Pied de Cochon,3.0,330,6 rue Coquillière 75001 Paris,01 40 13 77 00,www.pieddecochon.co,https://www.yelp.com/biz/au-pied-de-cochon-paris-2?osq=Restaurant
Kokoro,5.0,6,36 rue des Boulangers 75005 Paris,01 44 07 13 29,,https://www.yelp.com/biz/kokoro-paris?osq=Restaurant
Bouillon Chartier,3.5,957,7 rue du Faubourg Montmartre 75009 Paris,01 47 70 86 29,www.bouillon-chartier.com,https://www.yelp.com/biz/bouillon-chartier-paris?osq=Restaurant
Beefbar,4.0,11,5 rue Marbeuf 75008 Paris,01 44 31 40 00,,https://www.yelp.com/biz/beefbar-paris?osq=Restaurant
Le Colimaçon,4.5,134,44 rue Vieille du Temple 75004 Paris,01 48 87 12 01,www.le-colimacon.f,https://www.yelp.com/biz/le-colima%C3%A7on-paris-4?osq=Restaurant
Au Bon Accueil,4.5,80,14 rue Monttessuy 75007 Paris,01 47 05 46 11,www.aubonaccueilparis.co,https://www.yelp.com/biz/au-bon-accueil-paris-3?osq=Restaurant
Restaurant Mumi,4.5,6,14 rue Sauval 75001 Paris,01 40 26 27 54,www.restaurantmumi.co,https://www.yelp.com/biz/restaurant-mumi-paris?osq=Restaurant
Candelaria,4.0,330,52 rue de Saintonge 75003 Paris,01 42 74 41 28,www.quixotic-projects.com,https://www.yelp.com/biz/candelaria-paris-2?osq=Restaurant
Miznon,4.5,167,22 rue des Ecouffes 75004 Paris,01 42 74 83 58,,https://www.yelp.com/biz/miznon-paris?osq=Restaurant
Le Voltaire,4.0,42,27 quai Voltaire 75007 Paris,01 42 61 17 49,,https://www.yelp.com/biz/le-voltaire-paris-2?osq=Restaurant
Le P'tit Bistro,5.0,14,8 rue Saint-Martin 75004 Paris,01 42 78 55 80,,https://www.yelp.com/biz/le-p-tit-bistro-paris-2?osq=Restaurant
Le Coq Rico,4.5,104,98 Rue Lepic 75018 Paris,01 42 59 82 89,www.lecoqrico.com,https://www.yelp.com/biz/le-coq-rico-paris?osq=Restaurant
Le Cirque,4.0,12,141 rue Saint-Martin 75004 Paris,01 42 78 35 00,www.restaurant-le-cirque.f,https://www.yelp.com/biz/le-cirque-paris?osq=Restaurant
Le Pas Sage,4.5,47,1 Passage du Grand Cerf 75002 Paris,01 40 28 45 60,,https://www.yelp.com/biz/le-pas-sage-paris?osq=Restaurant
Café Saint-Régis,4.0,168,6 rue Jean du Bellay 75004 Paris,01 43 54 59 41,www.lesaintregis-paris.co,https://www.yelp.com/biz/caf%C3%A9-saint-r%C3%A9gis-paris-2?osq=Restaurant
La Belle Epoque,4.0,10,36 rue des Petits Champs 75002 Paris,01 49 27 97 17,www.labelleepoqueparis.f,https://www.yelp.com/biz/la-belle-epoque-paris-5?osq=Restaurant
A Jean Nicot,4.5,14,173 rue Saint Honoré 75001 Paris,01 42 60 49 77,,https://www.yelp.com/biz/a-jean-nicot-paris?osq=Restaurant
Two Stories,5.0,8,72 quai de Jemmapes 75010 Paris,01 53 16 17 88,www.twostories.f,https://www.yelp.com/biz/two-stories-paris?osq=Restaurant
L'Estrapade,5.0,45,15 rue de l'Estrapade 75005 Paris,01 43 25 72 58,www.bistrotlestrapade.f,https://www.yelp.com/biz/l-estrapade-paris?osq=Restaurant
Lapérouse,4.0,3,51 quai des Grands Augustins 75006 Paris,01 43 26 68 04,www.laperouse.co,https://www.yelp.com/biz/lap%C3%A9rouse-paris-4?osq=Restaurant
Le P'tit Bistro,5.0,14,8 rue Saint-Martin 75004 Paris,01 42 78 55 80,,https://www.yelp.com/biz/le-p-tit-bistro-paris-2?osq=Restaurant
Le P'tit Barcelone,4.5,9,10 Rue Boule Rouge 75009 Paris,01 40 22 96 39,www.leptitbarcelone.fr,https://www.yelp.com/biz/le-p-tit-barcelone-paris?osq=Restaurant
La Cave Gourmande,4.5,339,96 rue des Martyrs 75018 Paris,01 46 06 10 34,,https://www.yelp.com/biz/la-cave-gourmande-paris-2?osq=Restaurant
Le Comptoir des Petits Champs,4.0,45,17 rue des Petits Champs 75001 Paris,01 42 96 47 54,www.lecomptoirdespetitschamps.f,https://www.yelp.com/biz/le-comptoir-des-petits-champs-paris-2?osq=Restaurant
Les Bains - La Salle à Manger,5.0,2,7 rue du Bourg l'Abbé 75003 Paris,01 42 77 07 07,www.lesbains-paris.com,https://www.yelp.com/biz/les-bains-la-salle-%C3%A0-manger-paris?osq=Restaurant
Candelaria,4.0,330,52 rue de Saintonge 75003 Paris,01 42 74 41 28,www.quixotic-projects.com,https://www.yelp.com/biz/candelaria-paris-2?osq=Restaurant
L'îlot,4.5,58,4 rue de la Corderie 75003 Paris,06 95 12 86 61,www.lilot-restaurant.f,https://www.yelp.com/biz/l-%C3%AElot-paris-2?osq=Restaurant
Le Bistrot de Paris,4.5,25,33 rue de Lille 75007 Paris,01 42 61 16 83,,https://www.yelp.com/biz/le-bistrot-de-paris-paris-3?osq=Restaurant
Le Bistro Lyonnais,4.0,12,6 rue Michel Chasles 75012 Paris,01 55 78 06 42,www.lebistrodelyon.co,https://www.yelp.com/biz/le-bistro-lyonnais-paris?osq=Restaurant
Ralph's,4.0,79,173 boulevard Saint-Germain 75006 Paris,01 44 77 76 00,www.ralphlauren.fr,https://www.yelp.com/biz/ralphs-paris?osq=Restaurant
Chez Paul,4.0,244,13 rue Charonne 75011 Paris,01 47 00 34 57,www.chezpaul.co,https://www.yelp.com/biz/chez-paul-paris?osq=Restaurant
Floyd's,4.5,50,11 rue d'Enghien 75010 Paris,01 44 79 05 52,,https://www.yelp.com/biz/floyds-paris?osq=Restaurant
Le Bistro Lyonnais,4.0,12,6 rue Michel Chasles 75012 Paris,01 55 78 06 42,www.lebistrodelyon.co,https://www.yelp.com/biz/le-bistro-lyonnais-paris?osq=Restaurant
Maison Popeille,4.5,4,34 place du Marché Saint-Honoré 75001 Paris,09 53 49 82 53,,https://www.yelp.com/biz/maison-popeille-paris?osq=Restaurant
Chez Paul,4.0,244,13 rue Charonne 75011 Paris,01 47 00 34 57,www.chezpaul.co,https://www.yelp.com/biz/chez-paul-paris?osq=Restaurant
Claus - La Table du Petit-Déjeuner,4.5,249,14 rue Jean-Jacques Rousseau 75001 Paris,01 42 33 55 10,www.clausparis.co,https://www.yelp.com/biz/claus-la-table-du-petit-d%C3%A9jeuner-paris?osq=Restaurant
Clamato,4.5,85,80 rue Charonne 75011 Paris,01 43 72 74 53,www.clamato-charonne.f,https://www.yelp.com/biz/clamato-paris?osq=Restaurant
La Petite Périgourdine,4.0,116,39 rue des Ecoles 75005 Paris,01 43 26 33 35,,https://www.yelp.com/biz/la-petite-p%C3%A9rigourdine-paris-2?osq=Restaurant
Hero,4.0,77,289 rue Saint-Denis 75002 Paris,01 42 33 38 01,www.heroparis.com,https://www.yelp.com/biz/hero-paris-2?osq=Restaurant
Le Fumoir,4.0,309,6 rue de l'Amiral de Coligny 75001 Paris,01 42 92 00 24,www.lefumoir.co,https://www.yelp.com/biz/le-fumoir-paris?osq=Restaurant
Le Petit Vendôme,4.0,167,8 rue des Capucines 75002 Paris,01 42 61 05 88,,https://www.yelp.com/biz/le-petit-vend%C3%B4me-paris-2?osq=Restaurant
San,5.0,3,32 rue Coquillière 75001 Paris,32 rue Coquillière 75001 Paris France,,https://www.yelp.com/biz/san-paris-3?osq=Restaurant
L'Alsacien,4.5,67,6 rue Saint-Bon 75004 Paris,01 42 77 64 22,www.lalsacien.com,https://www.yelp.com/biz/l-alsacien-paris?osq=Restaurant
Khajuraho,5.0,15,14 bd de la Tour Maubourg 75007 Paris,01 42 73 29 18,,https://www.yelp.com/biz/khajuraho-paris?osq=Restaurant
Le Bistrot des Vosges,4.5,52,31 bd Beaumarchais 75004 Paris,01 42 72 94 85,www.bistrotdesvosges.com,https://www.yelp.com/biz/le-bistrot-des-vosges-paris?osq=Restaurant
Verjus,4.5,150,52 rue de Richelieu 75001 Paris,01 42 97 54 40,,https://www.yelp.com/biz/verjus-paris?osq=Restaurant
Café des Anges,4.0,153,66 rue de la Roquette 75011 Paris,01 47 00 00 63,,https://www.yelp.com/biz/caf%C3%A9-des-anges-paris?osq=Restaurant
Al Caratello,4.5,202,5 rue Audran 75018 Paris,01 42 62 24 23,www.caratello.fr,https://www.yelp.com/biz/al-caratello-paris-2?osq=Restaurant
Café Cassette,4.0,58,73 rue de Rennes 75006 Paris,01 45 48 53 78,www.cafecassette.com,https://www.yelp.com/biz/caf%C3%A9-cassette-paris-2?osq=Restaurant
Eggs & Co,4.5,365,11 rue Bernard Palissy 75006 Paris,01 45 44 02 52,www.eggsandco.f,https://www.yelp.com/biz/eggs-et-co-paris?osq=Restaurant
Le Prince Racine,4.5,7,22 rue Monsieur le Prince 75006 Paris,01 43 29 83 35,,https://www.yelp.com/biz/le-prince-racine-paris?osq=Restaurant
Les Embruns,4.5,64,8 rue de Lyon 75012 Paris,01 43 46 88 62,,https://www.yelp.com/biz/les-embruns-paris-2?osq=Restaurant
Loup,4.0,57,44 rue du Louvre 75001 Paris,01 42 36 73 23,www.loup-paris.co,https://www.yelp.com/biz/loup-paris?osq=Restaurant
Verjus,4.5,150,52 rue de Richelieu 75001 Paris,01 42 97 54 40,,https://www.yelp.com/biz/verjus-paris?osq=Restaurant
Machon d'Henri Le,4.5,41,8 Rue Guisarde 75006 Paris,01 43 29 08 70,,https://www.yelp.com/biz/machon-d-henri-le-paris-2?osq=Restaurant
Inavoué,4.5,6,4 impasse Gomboust 75001 Paris,01 40 20 09 28,,https://www.yelp.com/biz/inavou%C3%A9-paris-4?osq=Restaurant
Maison Sauvage,3.5,45,5 rue de Buci 75006 Paris,01 46 34 26 26,www.maison-sauvage.f,https://www.yelp.com/biz/maison-sauvage-paris-2?osq=Restaurant
Le Rigmarole,4.5,10,10 rue du Grand Prieuré 75011 Paris,01 71 24 58 44,,https://www.yelp.com/biz/le-rigmarole-paris?osq=Restaurant
El Nopal Taqueria,4.5,39,5 rue Duperré 75009 Paris,07 86 39 63 46,,https://www.yelp.com/biz/el-nopal-taqueria-paris?osq=Restaurant
Uma Nota,4.5,13,86 rue Réaumur 75002 Paris,01 42 33 07 71,www.uma-nota.co,https://www.yelp.com/biz/uma-nota-paris?osq=Restaurant
L'Auberge Aveyronnaise,4.0,108,40 Rue Gabriel Lamé 75012 Paris,01 43 40 12 24,www.aveyron.com,https://www.yelp.com/biz/l-auberge-aveyronnaise-paris?osq=Restaurant
20 Eiffel,4.5,16,20 rue de Monttessuy 75007 Paris,01 47 05 14 20,www.restaurant20eiffel.f,https://www.yelp.com/biz/20-eiffel-paris?osq=Restaurant
Crêperie Saint Eustache,4.5,50,2 rue Sauval 75001 Paris,01 40 28 40 39,,https://www.yelp.com/biz/cr%C3%AAperie-saint-eustache-paris-2?osq=Restaurant
Don Giovanni,5.0,22,19 rue François Miron 75004 Paris,01 48 87 01 02,www.dongiovanniparis.co,https://www.yelp.com/biz/don-giovanni-paris?osq=Restaurant
Le Mimosa,4.0,7,27 rue du Pont-Neuf 75001 Paris,01 40 26 30 74,www.mimosa-paris.fr,https://www.yelp.com/biz/le-mimosa-paris-2?osq=Restaurant
Bien Élevé,4.5,13,47 rue Richer 75009 Paris,01 45 81 44 35,www.bieneleve.f,https://www.yelp.com/biz/bien-%C3%A9lev%C3%A9-paris?osq=Restaurant
Restaurant le Meurice Alain Ducasse,4.0,85,228 rue de Rivoli 75001 Paris,01 44 58 10 55,www.dorchestercollection.com,https://www.yelp.com/biz/restaurant-le-meurice-alain-ducasse-paris-2?osq=Restaurant
Riz Riz,4.5,9,221 rue Saint Martin 75003 Paris,01 83 89 39 70,www.riz-riz.co,https://www.yelp.com/biz/riz-riz-paris?osq=Restaurant
Uma Nota,4.5,13,86 rue Réaumur 75002 Paris,01 42 33 07 71,www.uma-nota.co,https://www.yelp.com/biz/uma-nota-paris?osq=Restaurant
Inavoué,4.5,6,4 impasse Gomboust 75001 Paris,01 40 20 09 28,,https://www.yelp.com/biz/inavou%C3%A9-paris-4?osq=Restaurant
L'Auberge Aveyronnaise,4.0,108,40 Rue Gabriel Lamé 75012 Paris,01 43 40 12 24,www.aveyron.com,https://www.yelp.com/biz/l-auberge-aveyronnaise-paris?osq=Restaurant
